from_pretrained,input_seg_size,input_seq_len,num_mem_tokens,lr,lr_scheduler,sum_loss,f1,best_valid_f1,f1_std,n_runs,runs
roberta-base,512.0,998,10.0,5e-05,constant_with_warmup,True,0.9230769276618958,0.875,,1,[0.92]
roberta-base,512.0,998,10.0,5e-05,linear,False,0.9433962106704712,0.8421052694320679,0.0,2,"[0.94, 0.94]"
roberta-base,512.0,1227,100.0,1e-05,linear,False,0.9559748371442159,0.8513217369715372,0.019486724340390747,6,"[0.98, 0.94, 0.94, 0.98, 0.94, 0.94]"
roberta-base,512.0,1452,25.0,1e-05,constant_with_warmup,True,0.9332365691661835,0.8328267633914948,0.014367902804212287,2,"[0.94, 0.92]"
roberta-base,512.0,1497,10.0,1e-05,constant_with_warmup,True,0.9513574540615082,0.8685714304447174,0.014398079947746244,2,"[0.94, 0.96]"
roberta-base,512.0,1497,10.0,1e-05,linear,False,0.9750757217407225,0.8331854542096456,0.009382485504741415,6,"[0.98, 0.98, 0.96, 0.98, 0.98, 0.96]"
roberta-base,512.0,1497,10.0,5e-05,constant_with_warmup,True,0.92592591047287,0.8571428656578064,,1,[0.93]
roberta-base,512.0,1636,100.0,1e-05,linear,False,0.9624970952669779,0.8246875405311584,0.016879856371025525,6,"[0.94, 0.96, 0.98, 0.94, 0.96, 0.98]"
roberta-base,512.0,1996,10.0,1e-05,constant_with_warmup,True,0.9423076808452606,0.8655319213867188,0.027196391966564287,2,"[0.92, 0.96]"
roberta-base,512.0,1996,10.0,1e-05,linear,False,0.9811320900917052,0.8782051205635071,0.0,6,"[0.98, 0.98, 0.98, 0.98, 0.98, 0.98]"
roberta-base,512.0,1996,10.0,5e-05,constant_with_warmup,True,0.9433962106704712,0.8695651888847351,,1,[0.94]
roberta-base,512.0,3872,10.0,1e-05,constant_with_warmup,True,0.9811320900917052,0.8695651888847351,,1,[0.98]
roberta-base,512.0,3992,10.0,1e-05,constant_with_warmup,True,0.9629629850387572,0.8627451062202454,,1,[0.96]
t5-base,512.0,512,0.0,0.0001,linear,False,0.9564407269159952,0.814986010392507,0.0101042388356493,6,"[0.94, 0.96, 0.96, 0.94, 0.96, 0.96]"
t5-base,512.0,822,100.0,0.0001,linear,False,0.9308176040649414,0.8039506276448568,0.019486693560684585,6,"[0.94, 0.94, 0.91, 0.94, 0.94, 0.91]"
t5-base,512.0,918,50.0,1e-05,constant_with_warmup,False,0.7692307829856873,0.7843137383460999,0.0,2,"[0.77, 0.77]"
